TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,DispatchTx,TxCapacityNameplateAvailable,utility_rate
BASN,NWPP,1871.921440435683,3182.5,0.5881921258242523
PJMC,PJMW,576.6444272149406,931.0,0.6193817692963917
MISW,PJMC,1667.6961429892385,3040.0,0.5485842575622495
PJMD,PJME,661.7105574186388,1140.0,0.5804478573847709
PJMD,PJMW,2457.4029730641632,6583.5,0.3732669511755393
SRCE,PJMW,1990.6729766878727,3166.35,0.628696441229767
PJMW,MISE,1232.5462298381897,2528.9,0.48738432909098406
MISC,PJMW,2689.135175465518,5168.95,0.5202478599068511
RMRG,SPPC,125.50405584612899,199.5,0.6290930117600451
SPPN,RMRG,235.68729302742545,389.5,0.6051021643836341
SRSG,RMRG,381.7666406523637,583.3,0.6544944979467919
SPPS,SPPC,2444.7158127905286,3203.3999999999996,0.7631628309891143
SPPC,MISC,894.0293816710664,1358.5,0.6581003913662616
SPPN,MISW,2687.542318157938,5236.4,0.5132423646317963
BASN,CANO,76.62202380952381,95.0,0.8065476190476191
SPPS,SRSG,653.6686678356261,959.5,0.6812596850814238
SPPS,MISC,857.2475426272476,1113.4,0.7699367187239514
SRCE,SRCA,123.45783525579016,205.2,0.6016463706422522
SRCE,MISS,1927.3020779585959,3887.4,0.4957817764980696
SRCE,MISC,1762.6092394890832,3557.75,0.4954280765902841
FRCC,SRSE,1927.9767791683414,3420.0,0.5637359003416202
SRSE,MISS,464.8981590408914,846.4499999999999,0.5492328655453854
BASN,SRSG,3235.040366936374,5115.75,0.6323687371228801
SRSG,CASO,2778.5874967124896,4136.3,0.6717567624960689
TRE,TRE_WEST,8537.311527051099,15702.55,0.5436894980147237
CASO,CANO,1287.9050570089848,3491.25,0.3688951112091614
BASN,CASO,3526.1901048165537,5624.0,0.6269897056928438
MISS,MISC,545.8808913554665,987.05,0.5530427955579419
